year,avg(so2)
,9.5
1987,21.827070056443002
1988,22.098102472736667
1989,18.66806618365016
1990,17.723146864250822
1991,17.607666881492772
1992,17.71976534345789
1993,21.95889211841384
1994,22.47885135718294
1995,26.00087719669281
1996,20.645564293943522
1997,21.279954207585302
1998,20.031751628797096
1999,20.288985503756482
2000,16.913942321020567
2001,15.250710649175693
2002,13.151781481178809
2003,6.557118499573742
2004,11.534256824637112
2005,12.829258540113173
2006,11.308434380628272
2007,11.654908229271461
2008,11.269948988132839
2009,10.730822062098804
2010,10.089629654757745
2011,11.201339880586332
2012,10.897777427142948
2013,9.249904197370533
2014,9.137504149482625
2015,8.405897253778914
